3,'d',1,'j',6
5,'m',1,'r',11
10,'e',8,'lh',11
6,'cj',4,'mdq',7
11,'cs',6,'i',9
3,'cq',2,'j',3
11,'ed',8,'ue',7
9,'sdf',1,'mgo',4
4,'inw',8,'o',2
10,'vh',3,'eih',5
10,'t',9,'ha',7
8,'c',5,'kfp',10
3,'xy',9,'kf',2
5,'py',9,'h',2
3,'trl',2,'lyx',2
11,'b',5,'p',6
6,'r',11,'cpn',11
6,'w',10,'kn',2
8,'rb',9,'sg',4
6,'ng',6,'qrj',10
11,'y',5,'t',10
2,'f',10,'t',9
3,'svh',1,'yw',3
9,'oes',4,'l',6
6,'ljg',1,'lfa',1
7,'d',11,'oe',1
8,'e',4,'or',1
11,'mqx',7,'ve',9
9,'hzd',10,'ei',7
10,'d',11,'qxi',3
2,'daa',11,'vaa',3
3,'l',11,'e',4
6,'fsg',5,'ufl',2
9,'bos',10,'qal',7
3,'w',5,'erj',9
5,'z',9,'uiv',2
11,'u',11,'mw',1
9,'ob',10,'nn',8
7,'epa',8,'ct',5
1,'n',7,'lqb',4
8,'v',8,'ruo',1
4,'pv',11,'t',5
2,'v',7,'z',5
10,'hx',4,'zo',6
2,'zuy',5,'lyn',1
5,'j',11,'ed',9
10,'c',4,'b',7
8,'nv',8,'lg',5
1,'o',9,'od',5
2,'sh',7,'vfh',3
4,'bdu',1,'s',7
2,'sp',2,'biv',10
8,'fq',7,'wg',7
2,'b',4,'ix',10
10,'ymx',7,'ea',1
10,'v',5,'bvz',1
6,'s',9,'id',4
5,'amn',8,'cbn',11
1,'ta',8,'w',9
7,'h',5,'wre',7
1,'mx',3,'r',4
10,'yt',4,'k',9
4,'ehf',4,'ue',8
9,'zx',10,'llx',4
9,'n',1,'r',2
8,'ops',7,'gmx',9
1,'rys',9,'yt',5
3,'l',2,'o',9
4,'v',7,'vdh',11
11,'y',6,'mgd',9
7,'n',8,'pl',4
7,'jw',3,'o',8
11,'sav',10,'etx',9
9,'g',8,'aw',11
2,'g',6,'jbq',7
1,'k',8,'ti',8
5,'bls',3,'inj',1
9,'f',5,'u',11
5,'p',4,'y',4
1,'zq',5,'kzw',5
5,'wum',7,'l',7
5,'r',11,'kmn',7
6,'xgr',3,'f',3
10,'af',9,'f',10
7,'prz',10,'xd',3
6,'a',2,'gpt',11
1,'lwx',6,'eq',4
4,'hns',4,'t',9
11,'k',9,'o',11
3,'zp',7,'tb',8
9,'vg',8,'z',10
6,'lt',6,'ftn',11
9,'cn',4,'xv',1
3,'bjn',10,'o',3
3,'gnt',11,'i',1
1,'gw',1,'k',6
5,'bji',8,'xhy',7
8,'uq',10,'l',2
2,'s',8,'g',2
5,'up',5,'udx',9
6,'lr',11,'tja',4
7,'x',3,'fn',5
7,'t',5,'c',10
1,'fap',6,'p',11
1,'ay',3,'tb',11
6,'ox',10,'z',6
11,'pie',1,'l',1
6,'un',10,'rt',1
3,'q',1,'av',6
6,'ykq',4,'z',6
9,'e',10,'aj',4
2,'k',10,'xn',4
2,'xa',5,'dje',10
9,'m',1,'ef',3
4,'jwo',3,'pth',10
3,'kgs',6,'z',3
11,'j',8,'v',6
1,'bit',2,'may',9
10,'hvl',2,'t',4
11,'zea',8,'aw',7
2,'mj',8,'l',5
5,'ku',7,'ms',10
8,'ct',4,'p',1
2,'e',7,'b',2
8,'yio',6,'p',7
7,'mt',5,'ox',4
4,'ed',8,'j',2
6,'dfm',6,'vj',3
4,'wr',1,'pg',5
6,'udc',11,'a',1
1,'k',5,'p',8
4,'oo',11,'au',5
9,'m',10,'gs',2
8,'wb',10,'u',1
5,'m',4,'fqa',2
2,'jj',4,'y',9
7,'mh',1,'o',4
10,'qh',5,'t',9
3,'lbi',8,'v',5
5,'tvo',4,'q',8
2,'aw',7,'e',2
8,'bmm',5,'pt',5
1,'fd',7,'dv',9
6,'xik',5,'mob',7
11,'yp',11,'r',4
7,'l',11,'nlq',4
4,'gc',6,'wq',8
1,'ud',1,'s',10
3,'k',10,'zco',6
11,'n',6,'nwj',4
7,'bgn',3,'j',2
1,'g',4,'urq',10
1,'gn',9,'viy',7
2,'a',5,'iz',4
5,'ft',3,'ppr',6
10,'hra',10,'hb',8
9,'t',5,'vmu',4
6,'fnp',6,'ydx',4
11,'o',2,'in',2
7,'zg',3,'in',5
8,'yz',8,'g',5
5,'wvo',5,'n',4
8,'i',5,'r',1
10,'bsz',7,'pho',8
8,'ftf',3,'pxx',7
7,'sc',1,'d',9
5,'gaf',9,'sbl',1
2,'hmd',5,'ss',3
1,'bk',7,'m',2
11,'wwn',1,'tb',11
5,'qc',4,'wjd',7
7,'b',9,'t',4
1,'ki',9,'nm',11
1,'s',11,'s',7
1,'hdw',9,'uh',9
6,'y',7,'q',9
1,'rv',3,'sr',7
